id,account_id,account_type,transaction_id,transaction_id_orig,transaction_amount,transaction_date,transaction_type,transaction_type_name,transaction_channel,transaction_code,is_db_cr,user_id,spv_id,reversal_code,reversal_code_name
1,1,Tabungan,d2bcaf3c-3c99-4ce2-b60a-6a08854fae2b,d2bcaf3c-3c99-4ce2-b60a-6a08854fae2b,250000,2022-12-30 20:26:00,11001,Transfer External IBFT,Mobile Banking,5,cr,10110658755,51,1,reverse
2,2,Tabungan,f81bc473-1ac9-4ef6-9668-b13bcc9de919,f81bc473-1ac9-4ef6-9668-b13bcc9de919,100000,2022-12-30 20:27:00,11001,Transfer External IBFT,Mobile Banking,5,cr,10110658755,51,1,reverse
3,3,Tabungan,bac1a35d-b062-4db7-9866-896c0a03e6e1,bac1a35d-b062-4db7-9866-896c0a03e6e1,1000000,2022-12-30 20:28:00,11001,Transfer External IBFT,Mobile Banking,5,cr,10110658755,51,1,reverse
4,4,Tabungan,34ce2142-b6d4-48bb-890d-d3847cbc245e,34ce2142-b6d4-48bb-890d-d3847cbc245e,500000,2022-12-30 20:29:00,11001,Transfer External IBFT,Mobile Banking,5,cr,10110658755,51,1,reverse
5,5,Tabungan,6f0ddadf-d44f-4b54-acb9-12c22c15bab8,6f0ddadf-d44f-4b54-acb9-12c22c15bab8,140000,2022-12-30 20:30:00,409900,Transfer Internal,Mobile Banking,5,cr,10110658755,51,1,reverse
6,6,Tabungan,f6fc4e5c-98ee-46a4-8a30-75838584dd72,f6fc4e5c-98ee-46a4-8a30-75838584dd72,750000,2022-12-30 20:32:00,409900,Transfer Internal,Mobile Banking,5,cr,10110658755,51,1,reverse
7,7,Tabungan,f9ea05a1-ceba-4c8c-a35b-81bc2461d924,f9ea05a1-ceba-4c8c-a35b-81bc2461d924,25000000,2022-12-30 20:33:00,409900,Transfer Internal,Mobile Banking,5,cr,10110658755,51,1,reverse
8,8,Tabungan,67e711a9-75d0-478a-9a98-f27940349b67,67e711a9-75d0-478a-9a98-f27940349b67,400000,2022-12-30 20:33:00,409900,Transfer Internal,Mobile Banking,5,cr,10110658755,51,1,reverse
9,9,Tabungan,42c5b209-59cb-46f2-8843-0295924a7e52,42c5b209-59cb-46f2-8843-0295924a7e52,1000000,2022-11-30 19:34:00,409900,Transfer Internal,Mobile Banking,5,cr,10110658844,51,1,reverse
10,10,Tabungan,46d729cf-5ab0-4b17-9eb6-101c18ddaf5f,46d729cf-5ab0-4b17-9eb6-101c18ddaf5f,1500000,2022-11-30 19:51:00,409900,Transfer Internal,Mobile Banking,5,cr,10110658844,51,1,reverse
11,11,Tabungan,bb1f22ef-052f-46c2-a17f-dbb7137967a7,bb1f22ef-052f-46c2-a17f-dbb7137967a7,400000,2022-11-30 22:51:00,409900,Transfer Internal,Mobile Banking,5,cr,10110658844,51,1,reverse
12,12,Tabungan,b52efd0e-20e9-4db0-bdaf-0917520ac926,b52efd0e-20e9-4db0-bdaf-0917520ac926,130000000,2022-12-01 5:16:00,409900,Transfer Internal,Mobile Banking,5,cr,10110658844,51,1,reverse
13,13,Tabungan,310178c0-ec95-4edb-9a81-912c805f0464,310178c0-ec95-4edb-9a81-912c805f0464,150000,2022-12-05 8:02:00,401000,Transfer External BIFAST,Mobile Banking,5,cr,10110658844,51,1,reverse
